item_id,category,subcategory,item_name,description,unit,unit_price,minimum_quantity,typical_quantity,maximum_quantity,synonyms,requires_dimensions,requires_material_selection,requires_site_verification,clarification_question,confidence_notes,active
GP-001,Site Preparation,Mobilization,Site Mobilization & Setup,"Base charge for crew mobilization, equipment delivery, staging, and site protection prior to starting work.",project,850.0,1,1,1,mobilization;site setup;getting started;crew setup;job setup,FALSE,FALSE,TRUE,Confirm site access and whether equipment can be staged on-property or requires street parking.,Charged on nearly every project as a base line item; select once per proposal regardless of scope size.,TRUE
GP-002,Site Preparation,Grading,Rough Grading,Initial grading of the yard to establish base elevations and slope prior to hardscape or turf installation.,sqft,2.25,500,2000,8000,rough grading;leveling the yard;grading;yard leveling;dirt work,TRUE,FALSE,TRUE,How many square feet of the yard need rough grading?,"High confidence when notes mention grading, leveling, or uneven/sloped yard as a starting condition.",TRUE
GP-003,Site Preparation,Grading,Fine Grading & Prep,"Final grading pass to prepare a smooth, compacted base immediately before installing turf, pavers, or planting.",sqft,1.1,500,2000,8000,fine grading;base prep;final grading;surface prep,TRUE,FALSE,FALSE,How many square feet require fine grading before installation?,Medium confidence; often bundled implicitly with turf or paver notes rather than mentioned directly.,TRUE
GP-004,Site Preparation,Soil,Soil Import & Amendment,Delivery and incorporation of imported topsoil or amended soil for planting areas or fill.,cubic_yard,68.0,5,20,100,import soil;topsoil delivery;soil amendment;fill dirt;compost amendment,TRUE,FALSE,TRUE,"How many cubic yards of soil are needed, and is this for fill or planting beds?","Medium confidence; select when notes mention poor existing soil, fill needed, or planting bed prep at scale.",TRUE
GP-005,Site Preparation,Demolition,Existing Landscape Demo & Haul-Off,"Removal of existing grass, plants, mulch, or loose landscape material and haul-off from the property.",sqft,3.75,200,1200,6000,yard demo;tear out old landscaping;remove existing yard;landscape removal;clear the yard,TRUE,FALSE,TRUE,How many square feet of existing landscaping need to be removed?,"High confidence when notes mention tearing out, removing, or replacing an existing yard or landscape bed.",TRUE
GP-006,Site Preparation,Demolition,Concrete Demo & Removal,"Breaking, removal, and haul-off of existing concrete slabs, walkways, or patios.",sqft,6.5,100,600,3000,concrete demo;remove old concrete;break out concrete;concrete removal;demo the slab,TRUE,FALSE,TRUE,How many square feet of existing concrete need to be demolished and removed?,"High confidence when notes explicitly mention removing, breaking out, or replacing existing concrete.",TRUE
GP-007,Site Preparation,Demolition,Tree/Stump Removal,Removal of an existing tree and grinding or extraction of its stump and root ball.,each,475.0,1,2,6,tree removal;stump removal;stump grinding;remove a tree;take out a tree,FALSE,FALSE,TRUE,"How many trees or stumps need to be removed, and what is the approximate trunk diameter?",High confidence when notes mention removing a specific tree or stump before new landscaping.,TRUE
GP-008,Site Preparation,Disposal,Debris Haul-Off (Dumpster),On-site dumpster rental and disposal of construction and landscape debris generated during the project.,each,625.0,1,2,5,dumpster;debris removal;haul away debris;trash removal;job site cleanup,FALSE,FALSE,FALSE,,Medium confidence; typically added automatically on demolition-heavy projects rather than requested by name.,TRUE
GP-009,Site Preparation,Utilities,Utility Locate & Verification,"Coordination of underground utility locates (electric, gas, irrigation, cable) prior to excavation.",project,325.0,1,1,1,call before you dig;utility locate;811 locate;check for utility lines;locate underground lines,FALSE,FALSE,TRUE,"Are there any known underground utilities, irrigation lines, or a septic system in the work area?","High confidence when notes mention digging, trenching, drainage, or wall footings near property lines.",TRUE
GP-010,Concrete,Patio,Concrete Patio Installation - Standard Broom Finish,"Installation of a broom-finished concrete patio slab, including forming, reinforcement, and pour.",sqft,9.75,200,700,2500,concrete patio;plain concrete patio;broom finish patio;basic concrete patio;poured patio,TRUE,FALSE,TRUE,How many square feet of concrete patio should be installed?,High confidence when notes mention a plain or basic concrete patio without a decorative finish.,TRUE
